DOLLAREL,BEDROOMS,TVCOLOR,NHSLDMEM,TOTSQFT_EN,BA_climate,SWIMPOOL_,INCOME,TYPEHUQ_,DISHWASH,CWASHER,ELWARM,ELCOOL,ELWATER,REGIONC,TELLWORK
1712.81,3,4,2,1950,Cold,0,1,1,1,1,1,1,1,NORTHEAST,0
1405.98,3,2,4,2000,Hot-Humid,0,4,1,1,1,0,1,0,SOUTH,1
1644.89,4,2,2,2000,Hot-Humid,0,2,1,0,1,0,0,1,WEST,1
858.5,2,1,2,820,Cold,0,2,1,1,1,0,0,0,NORTHEAST,0
1046.1,3,4,4,2100,Cold,0,3,1,1,1,1,1,1,MIDWEST,0
2446.33,3,6,4,1500,Hot-Dry,0,3,1,0,1,1,1,0,WEST,0
1183.31,4,5,3,1300,Mixed-Humid,0,2,0,1,1,0,1,0,SOUTH,1
777.26,3,2,3,1560,Cold,0,1,0,0,1,0,0,0,NORTHEAST,0
1389.12,3,3,1,1100,Mixed-Humid,0,1,0,0,1,1,1,1,SOUTH,0
784.69,4,1,2,2800,Hot-Dry,0,2,1,1,1,1,1,1,WEST,1
2390.43,4,4,2,3750,Cold,0,3,1,1,1,0,1,1,MIDWEST,1
638.56,3,2,1,3230,Mixed-Humid,0,4,1,1,1,1,1,1,SOUTH,1
869.82,3,4,2,1400,Mixed-Humid,0,3,0,1,1,1,1,1,SOUTH,1
1049.02,5,3,2,5510,Cold,0,3,1,1,1,1,1,0,WEST,0
1102.84,3,2,2,2000,Mixed-Humid,0,1,1,1,1,1,1,1,SOUTH,1
1276.88,1,0,3,700,Mixed-Humid,0,2,0,0,1,0,1,0,NORTHEAST,0
2071.37,5,2,2,1730,Cold,0,3,1,1,1,0,1,0,MIDWEST,0
939.24,1,2,2,750,Mixed-Humid,0,1,0,0,1,1,1,1,SOUTH,0
811.04,2,3,1,2050,Cold,0,1,1,0,1,1,1,0,WEST,0
2881.34,4,2,4,1020,Mixed-Humid,0,1,0,0,0,1,0,1,NORTHEAST,0
558.46,2,0,1,980,Very-Cold,0,1,0,0,1,1,0,1,MIDWEST,0
1542.53,4,1,1,2070,Hot-Dry,1,3,1,1,1,0,1,0,WEST,1
4077.66,4,5,4,2100,Hot-Humid,0,4,1,1,1,1,1,0,SOUTH,1
1640.77,3,1,2,1800,Cold,0,2,1,1,1,0,1,0,NORTHEAST,0
1032.3,3,1,2,2000,Cold,0,1,1,1,1,0,1,0,NORTHEAST,0
620.66,2,1,1,1100,Cold,0,1,0,1,0,0,1,0,MIDWEST,0
561.92,3,3,2,1550,Mixed-Humid,0,1,0,0,1,1,0,0,SOUTH,0
579.3,2,2,6,580,Cold,0,1,0,0,0,1,1,1,MIDWEST,0
1260.23,2,2,3,1150,Mixed-Humid,0,1,0,1,1,1,1,1,SOUTH,0
2122.35,4,4,5,2560,Marine,0,1,1,1,1,1,1,1,WEST,1
1800.73,3,3,3,1350,Hot-Humid,0,4,1,1,1,1,1,1,SOUTH,1
2085.51,4,4,2,2760,Mixed-Humid,1,1,1,1,1,1,1,0,MIDWEST,0
434.7,1,1,1,900,Mixed-Humid,0,1,0,1,1,0,1,0,NORTHEAST,0
1193.44,3,3,2,1800,Hot-Humid,0,2,0,1,1,1,1,1,SOUTH,1
526.47,2,0,4,900,Cold,0,1,0,1,1,0,1,0,WEST,0
1613.23,3,1,2,1220,Cold,0,1,0,1,1,1,1,1,NORTHEAST,1
476.18,3,3,1,1500,Hot-Dry,0,3,1,1,1,0,1,0,SOUTH,0
523.91,2,1,1,760,Very-Cold,0,1,0,1,0,1,1,1,MIDWEST,0
1189.87,3,1,2,2200,Mixed-Humid,0,1,1,1,1,0,1,1,SOUTH,0
1640.07,3,3,2,670,Cold,0,2,1,0,1,0,1,0,MIDWEST,1
762.16,3,1,1,2550,Cold,0,2,1,1,1,0,1,0,MIDWEST,0
4224.74,4,4,7,1130,Hot-Dry,1,3,1,0,1,0,1,0,WEST,0
901.36,3,2,1,2780,Cold,0,1,1,1,1,1,1,1,MIDWEST,0
1038.22,2,1,2,1800,Cold,0,1,1,1,1,0,1,0,NORTHEAST,1
1105.83,2,3,2,900,Mixed-Humid,0,1,1,0,1,1,1,1,SOUTH,0
1152.5,3,4,7,1400,Cold,0,2,0,1,1,0,1,0,MIDWEST,0
1925.41,5,2,2,4740,Cold,0,4,1,1,1,0,1,1,WEST,1
1181.06,1,2,2,1800,Cold,0,2,1,1,1,1,0,1,NORTHEAST,1
1224.72,2,2,2,1500,Mixed-Humid,0,1,1,1,0,1,1,1,SOUTH,0
1541.23,3,1,1,2300,Mixed-Humid,0,1,1,0,1,1,0,1,SOUTH,0
1505.68,3,1,2,1800,Cold,0,2,1,1,1,0,0,1,MIDWEST,1
874.62,2,3,2,1440,Hot-Humid,0,4,1,1,1,1,1,1,SOUTH,0
1428.49,3,4,5,2400,Mixed-Humid,0,1,1,1,1,0,1,0,SOUTH,0
1953.59,3,3,2,1500,Hot-Dry,1,1,1,1,1,0,1,0,WEST,0
3356.34,2,1,1,750,Cold,0,1,0,0,0,1,1,1,MIDWEST,0
1275.79,3,2,6,3170,Cold,0,3,1,1,1,0,1,0,WEST,1
1127.29,4,2,2,4550,Mixed-Humid,0,2,1,1,1,0,1,0,SOUTH,0
739.4,3,1,2,1690,Cold,0,1,1,0,1,0,0,1,NORTHEAST,0
526.26,3,2,2,1060,Mixed-Humid,0,2,1,1,1,0,1,0,SOUTH,0
545.22,3,3,1,2650,Cold,0,1,1,0,1,0,1,1,MIDWEST,0
1048.97,3,2,2,3300,Cold,0,2,1,1,1,0,1,0,NORTHEAST,0
969.53,5,4,2,6370,Cold,0,4,1,1,1,1,1,0,MIDWEST,0
3451.63,3,5,4,1950,Mixed-Humid,0,3,1,1,1,1,1,1,SOUTH,1
1242.51,2,2,2,1200,Hot-Humid,0,1,0,1,1,1,1,0,SOUTH,1
1573.39,3,2,4,860,Mixed-Humid,0,1,0,0,0,0,1,1,SOUTH,0
3112.86,4,3,4,1200,Hot-Humid,0,1,1,0,1,0,1,0,SOUTH,0
1170.35,3,1,7,1800,Mixed-Humid,0,1,1,1,0,0,0,0,SOUTH,1
1140.56,3,1,1,1000,Cold,0,1,1,1,1,0,0,1,WEST,0
1784.96,4,2,4,1550,Marine,0,4,1,1,1,0,1,0,WEST,1
561.98,3,2,2,1400,Cold,0,2,1,1,1,0,1,1,MIDWEST,0
502.51,0,1,1,780,Mixed-Humid,0,3,0,0,0,1,1,0,NORTHEAST,1
3086.55,4,4,5,2300,Hot-Dry,0,1,1,1,1,1,1,0,WEST,0
5754.9,5,10,4,3500,Mixed-Humid,1,4,1,1,1,1,1,1,NORTHEAST,1
3346.85,3,4,1,1350,Mixed-Humid,0,3,1,1,1,1,1,1,SOUTH,1
1249.07,4,4,4,2190,Cold,0,4,1,1,1,0,1,1,NORTHEAST,1
2434.91,5,2,4,4100,Cold,0,4,1,1,1,0,1,1,MIDWEST,1
805.2,2,1,4,710,Hot-Humid,0,1,0,0,0,1,1,1,SOUTH,0
4264.71,5,2,2,5000,Hot-Dry,1,4,1,1,1,0,1,0,WEST,0
1151.8,3,1,5,1040,Mixed-Humid,0,1,1,1,1,0,1,1,NORTHEAST,0
867.67,4,3,3,1900,Cold,0,2,1,1,1,0,1,0,WEST,0
989.58,3,2,3,2720,Cold,0,3,1,1,1,0,1,0,NORTHEAST,0
1825.23,5,5,3,2630,Cold,1,3,1,1,1,1,1,0,NORTHEAST,0
980.53,2,1,1,2160,Mixed-Humid,0,2,0,1,1,1,1,0,SOUTH,0
3200.48,2,7,2,6450,Mixed-Humid,1,4,1,1,1,0,1,1,SOUTH,1
805.88,4,3,2,1330,Cold,0,2,1,0,1,0,1,0,MIDWEST,0
1338.41,2,5,3,1100,Mixed-Humid,1,1,1,0,1,1,1,0,SOUTH,0
1496.56,4,2,2,2100,Marine,0,1,1,1,1,0,1,0,WEST,0
447.15,1,1,1,690,Marine,0,1,0,1,1,0,0,1,WEST,1
401.95,3,1,1,1850,Cold,0,1,1,1,1,1,1,0,MIDWEST,1
1643.34,1,1,1,580,Mixed-Humid,0,1,1,0,1,1,1,1,MIDWEST,0
842.72,3,3,4,4200,Cold,0,4,1,1,1,1,1,0,WEST,1
1705.67,4,2,3,3450,Mixed-Humid,0,4,1,1,1,0,1,0,SOUTH,0
1959.91,4,2,4,3020,Mixed-Humid,0,1,1,1,1,0,1,1,SOUTH,0
1350.72,2,4,2,1000,Hot-Humid,0,2,1,0,1,0,1,1,SOUTH,0
982.63,4,2,3,2500,Cold,0,1,1,1,1,0,1,0,WEST,0
1312.63,2,1,1,1100,Mixed-Humid,0,4,0,1,0,0,1,1,SOUTH,1
4631.21,4,7,4,2680,Mixed-Humid,1,2,1,1,1,1,1,1,SOUTH,1
910.86,3,1,1,2160,Mixed-Humid,0,1,0,1,1,1,1,1,SOUTH,1
1411.4,3,5,1,2800,Cold,0,1,1,1,1,0,1,0,MIDWEST,0
2166.27,2,2,3,2460,Hot-Dry,0,3,1,1,1,0,1,0,WEST,1
671.43,1,0,1,600,Mixed-Humid,0,1,0,0,0,0,1,0,SOUTH,0
1109.93,1,1,1,680,Mixed-Humid,0,2,0,1,1,1,1,1,NORTHEAST,1
3418.24,4,2,6,2000,Hot-Dry,1,4,1,1,1,0,1,0,WEST,1
933.68,3,6,2,2300,Cold,0,2,1,1,1,0,1,0,MIDWEST,0
1987.36,4,5,3,6150,Cold,0,4,1,1,1,0,1,1,MIDWEST,1
638.74,2,1,1,1820,Cold,0,1,0,1,1,0,1,0,WEST,0
2048.3,3,4,6,610,Hot-Humid,0,1,1,1,1,1,1,0,SOUTH,0
1061.59,3,2,2,1400,Cold,0,3,1,1,1,1,1,0,MIDWEST,1
2428.26,2,2,2,2120,Cold,0,2,1,0,1,0,1,1,NORTHEAST,0
449.71,2,3,1,860,Mixed-Humid,0,1,0,0,0,1,1,0,SOUTH,0
1419.07,4,4,2,4200,Hot-Dry,1,4,1,1,1,1,1,0,WEST,0
1051.25,3,2,1,1500,Hot-Humid,0,1,1,0,1,1,1,0,SOUTH,0
2647.51,3,2,3,2410,Very-Cold,0,4,1,0,1,1,0,1,MIDWEST,1
652.38,2,2,2,2110,Cold,0,1,0,1,1,0,1,0,MIDWEST,0
2192.99,5,3,3,1060,Hot-Humid,0,2,1,0,1,0,0,1,WEST,0
1605.55,2,1,1,2130,Mixed-Humid,0,1,0,1,1,1,1,1,SOUTH,0
809.09,3,2,1,1730,Cold,0,2,1,1,1,0,1,0,NORTHEAST,1
1644.55,6,2,7,1460,Hot-Humid,0,4,0,0,1,0,1,1,WEST,0
966.19,4,3,2,2280,Mixed-Humid,0,4,1,1,1,0,1,0,SOUTH,0
1701.16,4,3,2,4700,Cold,0,4,1,1,1,0,1,0,MIDWEST,1
394.5,2,2,1,1200,Very-Cold,0,1,0,0,1,0,1,0,MIDWEST,0
718.4,2,1,1,960,Mixed-Humid,0,2,0,1,1,1,1,1,SOUTH,0
1599.11,2,2,6,800,Cold,0,2,0,1,0,1,1,1,NORTHEAST,0
758.13,2,4,4,890,Mixed-Humid,0,1,0,0,1,1,1,1,SOUTH,1
1766.52,3,1,4,1600,Mixed-Humid,0,1,1,0,1,1,1,1,SOUTH,0
1279.93,3,5,4,2200,Marine,0,2,1,1,1,1,1,0,WEST,0
1068.69,2,3,2,900,Marine,0,1,0,1,0,1,1,1,WEST,0
1619.68,3,3,2,1300,Hot-Humid,0,2,1,1,1,0,1,0,SOUTH,0
1239.86,2,2,2,1500,Cold,0,2,1,1,1,0,1,0,MIDWEST,0
1065.61,3,3,3,1800,Mixed-Humid,0,2,1,1,1,0,1,0,SOUTH,0
2006.66,3,3,2,2520,Cold,0,1,1,1,0,1,1,1,MIDWEST,0
1715.33,3,1,2,1680,Cold,0,2,1,1,1,1,1,1,WEST,0
3626.97,4,3,3,2400,Very-Cold,0,2,0,1,1,0,0,0,WEST,0
1047.65,3,2,2,1220,Marine,0,2,1,1,1,1,0,1,WEST,0
1717.09,3,4,2,3100,Hot-Humid,1,3,1,1,1,0,1,0,SOUTH,0
662.25,3,2,2,1820,Mixed-Humid,0,3,0,1,1,0,1,1,SOUTH,1
1075.66,4,2,2,3900,Cold,0,3,1,1,1,0,0,0,NORTHEAST,1
2725.89,4,6,2,2800,Cold,1,3,1,1,1,1,1,0,MIDWEST,0
2132.67,2,3,3,1930,Cold,0,3,1,1,1,0,1,1,MIDWEST,0
795.7,4,2,3,1090,Mixed-Humid,0,2,1,1,1,1,1,1,SOUTH,0
1515.39,3,3,2,2280,Cold,1,2,1,0,1,0,1,1,NORTHEAST,0
1056.49,4,3,2,2200,Cold,0,1,1,0,1,0,1,1,WEST,0
241.42,2,1,1,1100,Very-Cold,0,1,0,0,1,0,1,0,MIDWEST,0
3912.24,3,1,2,2500,Cold,0,1,1,1,1,1,1,1,MIDWEST,0
804.26,1,2,1,750,Cold,0,1,0,1,1,1,1,1,NORTHEAST,0
461.19,2,1,1,750,Mixed-Humid,0,1,0,0,0,1,1,1,SOUTH,0
746.47,4,2,4,2200,Cold,0,2,1,1,1,0,1,0,MIDWEST,1
668.05,0,1,1,510,Mixed-Humid,0,2,0,0,0,1,1,1,SOUTH,1
1116.56,2,1,1,670,Hot-Humid,0,1,0,0,0,0,1,0,WEST,0
684.8,2,1,1,560,Hot-Humid,0,1,0,1,0,1,1,1,SOUTH,0
846.55,2,1,2,580,Hot-Humid,0,1,0,0,0,1,1,1,SOUTH,0
1450.84,2,1,2,840,Mixed-Humid,0,1,1,0,1,1,1,1,SOUTH,0
643.17,3,1,2,3400,Cold,0,1,1,1,1,0,0,0,WEST,0
431.33,3,2,1,1610,Cold,0,1,1,0,1,0,1,0,MIDWEST,0
3641.52,3,5,3,2100,Mixed-Humid,0,3,1,1,1,1,1,1,SOUTH,1
772.14,1,2,1,1000,Mixed-Humid,0,1,0,0,1,1,1,1,SOUTH,0
945.54,2,1,1,950,Mixed-Humid,0,3,0,1,1,0,1,1,SOUTH,1
2699.38,3,2,2,2200,Mixed-Humid,1,4,1,1,1,0,1,1,SOUTH,0
725.96,3,6,2,2500,Cold,0,3,1,1,1,1,1,0,WEST,0
1441.04,2,2,2,1120,Mixed-Humid,0,1,0,1,1,1,1,1,SOUTH,0
486.71,3,1,2,1920,Cold,0,1,1,0,1,0,0,1,WEST,0
1261.56,4,2,3,2250,Hot-Humid,0,1,1,0,1,0,1,1,WEST,0
1332.66,4,3,3,1600,Cold,0,2,1,1,1,1,1,0,MIDWEST,1
794.83,3,2,1,990,Mixed-Dry,0,1,1,1,1,0,1,0,WEST,0
1271.24,4,2,2,1850,Cold,0,2,1,1,1,1,0,0,WEST,0
539.69,3,1,2,2130,Cold,0,1,1,0,1,0,1,1,NORTHEAST,0
539.2,1,1,1,850,Hot-Dry,0,1,0,0,1,0,1,0,WEST,0
2016.6,3,5,6,4200,Cold,0,2,1,1,1,0,1,0,MIDWEST,0
760.84,3,1,1,2600,Cold,0,1,1,0,1,1,1,0,MIDWEST,0
1238.31,3,1,4,1000,Hot-Dry,0,2,1,1,1,1,1,0,WEST,0
2307.54,3,3,2,3960,Mixed-Humid,1,4,1,1,1,0,1,0,MIDWEST,0
1235.26,2,3,3,1190,Cold,0,3,0,1,1,0,1,0,MIDWEST,1
2822.58,4,4,3,4550,Cold,0,4,1,1,1,1,1,0,NORTHEAST,0
596.73,4,3,3,1520,Hot-Dry,0,1,1,1,1,0,0,0,WEST,0
471.19,4,2,3,1600,Cold,0,2,1,1,1,0,1,0,WEST,0
4017.52,4,2,2,4800,Hot-Humid,1,2,1,0,1,1,1,1,SOUTH,0
862.22,4,1,2,900,Cold,0,1,1,1,1,1,1,0,NORTHEAST,0
1395.08,3,2,2,1800,Cold,0,2,1,1,1,0,1,1,NORTHEAST,0
1093.43,3,3,2,1340,Mixed-Humid,0,2,1,1,1,1,0,1,SOUTH,1
1442.32,2,1,1,1500,Hot-Humid,0,2,1,1,1,0,1,0,SOUTH,0
593.24,3,1,1,1580,Cold,0,1,1,1,1,1,1,0,NORTHEAST,0
1914.53,3,3,3,1200,Mixed-Humid,0,2,1,0,1,1,0,0,SOUTH,0
1876.78,4,3,4,4800,Mixed-Humid,0,3,1,1,1,0,1,0,SOUTH,1
1158.97,3,3,4,2660,Cold,1,2,1,1,1,0,1,1,MIDWEST,1
988.02,3,3,3,1870,Cold,0,3,1,1,1,0,1,1,MIDWEST,1
1815.51,3,3,3,1900,Marine,0,1,1,0,1,0,0,0,WEST,0
2036.29,2,3,3,1170,Cold,0,1,0,1,0,1,1,1,NORTHEAST,1
4159.73,4,5,3,2750,Mixed-Humid,1,4,1,1,1,0,1,0,NORTHEAST,1
2233.86,4,1,2,2090,Marine,0,2,1,1,1,1,0,1,WEST,0
955.85,4,2,2,2100,Mixed-Humid,0,2,1,1,1,1,1,0,SOUTH,0
1606.97,3,2,5,1620,Cold,0,1,1,0,1,0,1,0,MIDWEST,0
511.15,1,1,1,750,Marine,0,1,0,1,1,1,1,1,WEST,1
1504.58,3,3,2,1350,Cold,0,2,1,1,1,0,1,0,NORTHEAST,0
2138.19,3,2,1,1440,Hot-Humid,1,2,1,1,1,1,1,1,SOUTH,0
1177.43,3,2,1,930,Mixed-Humid,0,2,1,1,1,0,1,0,NORTHEAST,1
1882.38,5,3,4,3000,Cold,0,4,1,1,1,0,1,0,WEST,0
1665.62,4,6,3,2350,Mixed-Humid,0,2,1,1,1,1,1,1,SOUTH,1
2290.96,3,0,3,2100,Marine,0,1,0,1,1,1,1,1,WEST,1
637.04,2,2,2,750,Mixed-Humid,0,4,0,1,0,0,1,0,NORTHEAST,1
1890.21,3,3,5,1170,Hot-Humid,0,1,1,0,1,1,1,1,SOUTH,0
630.6,4,1,1,3430,Cold,0,1,1,1,1,0,0,0,NORTHEAST,0
1295.46,3,2,2,1110,Mixed-Humid,0,1,0,1,1,1,1,1,SOUTH,0
2204.49,3,4,3,3200,Cold,0,2,1,1,1,0,1,0,NORTHEAST,0
856.61,2,2,1,600,Cold,0,1,0,0,0,1,1,1,WEST,0
536.92,3,1,2,2510,Mixed-Humid,0,2,0,1,1,0,1,0,SOUTH,0
943.36,2,1,1,1020,Hot-Dry,0,1,0,0,1,0,1,0,SOUTH,0
702.73,4,4,4,3380,Mixed-Humid,0,2,0,1,1,0,1,0,NORTHEAST,0
738.73,3,3,3,1380,Cold,0,1,1,1,1,1,1,0,MIDWEST,0
928.54,3,2,2,1650,Marine,0,1,1,1,1,1,1,0,WEST,0
2340.57,5,6,7,3250,Hot-Humid,0,2,1,1,1,1,1,1,SOUTH,0
1175.99,3,3,2,2200,Mixed-Humid,0,1,1,1,1,1,1,1,SOUTH,0
667.96,2,2,2,1250,Hot-Dry,0,2,0,1,1,0,1,0,WEST,1
2098.71,3,3,4,1150,Hot-Dry,0,2,1,1,1,1,1,0,WEST,1
1143.27,4,2,2,3600,Cold,0,1,1,1,1,0,1,0,MIDWEST,0
1772.72,3,2,3,1650,Cold,0,2,1,0,1,1,1,1,NORTHEAST,0
2197.88,2,3,2,1260,Mixed-Humid,0,3,1,1,1,1,1,1,SOUTH,1
816.17,3,3,1,1700,Mixed-Humid,0,1,1,1,1,0,1,0,MIDWEST,0
896.86,4,3,2,1700,Mixed-Humid,0,4,0,1,1,1,1,0,SOUTH,1
886.1,2,2,2,1000,Cold,0,2,0,1,1,0,1,0,MIDWEST,1
1017.99,2,1,2,1510,Cold,0,2,1,1,1,0,1,1,WEST,0
2005.94,3,3,4,3600,Mixed-Humid,0,4,1,1,1,1,1,0,NORTHEAST,1
1581.11,3,2,3,2690,Cold,0,4,1,1,1,0,1,0,MIDWEST,0
3282.24,6,3,2,2450,Mixed-Humid,0,4,1,1,1,0,1,1,SOUTH,1
1759.98,2,2,2,1000,Mixed-Humid,0,2,0,1,1,1,1,1,SOUTH,1
434.21,3,1,2,1780,Hot-Dry,0,2,1,1,1,1,1,0,WEST,0
839.92,1,2,2,780,Hot-Dry,0,2,0,1,1,1,1,1,WEST,0
653.61,1,1,1,650,Marine,0,2,0,0,0,1,1,1,WEST,0
412.42,3,1,3,900,Cold,0,1,0,1,0,0,1,1,WEST,1
1868.82,2,1,2,1200,Cold,0,3,1,1,1,1,1,0,MIDWEST,0
2002.22,3,3,5,630,Mixed-Humid,0,1,1,0,1,0,1,1,SOUTH,0
1152.11,3,6,2,2420,Cold,0,3,1,1,1,1,1,0,NORTHEAST,0
1308.22,6,1,2,3470,Mixed-Humid,0,1,1,1,1,1,1,0,NORTHEAST,0
558.63,1,1,1,760,Cold,0,1,0,0,0,1,1,1,WEST,0
3912.96,4,4,4,2460,Cold,0,1,1,0,1,0,1,0,MIDWEST,0
551.77,5,1,2,2450,Cold,0,2,1,1,1,0,1,0,WEST,1
544.83,3,3,2,1000,Hot-Dry,0,1,1,0,1,1,0,0,WEST,0
1295.81,2,3,2,4200,Hot-Humid,0,1,1,1,1,1,1,0,SOUTH,1
2487.56,3,2,4,1850,Mixed-Dry,0,1,1,1,1,1,1,0,WEST,0
1215.6,3,3,2,1760,Hot-Humid,0,1,1,1,1,0,1,0,SOUTH,0
1669.83,3,2,4,2630,Marine,1,2,1,1,1,1,1,1,WEST,0
495.21,2,4,5,900,Hot-Dry,0,1,0,0,1,0,1,0,WEST,0
3306.55,3,5,2,4880,Hot-Humid,1,4,1,1,1,0,1,0,SOUTH,1
2141.68,4,3,5,2700,Marine,0,3,1,1,1,1,1,0,WEST,1
1695.53,2,2,3,800,Hot-Humid,0,2,0,1,1,0,1,0,WEST,0
258.51,1,1,1,1000,Cold,0,1,0,0,0,0,0,0,NORTHEAST,0
617.38,3,1,2,2200,Mixed-Humid,0,2,0,0,0,0,0,0,NORTHEAST,0
613.34,2,1,1,1190,Hot-Dry,0,1,0,1,1,0,1,0,WEST,0
669.48,2,2,1,490,Marine,0,1,1,0,1,0,1,0,WEST,0
2254.28,3,2,3,1880,Cold,1,2,1,1,1,1,1,0,NORTHEAST,0
2224.52,2,3,1,2000,Mixed-Humid,0,4,0,1,1,1,1,0,SOUTH,1
2084.41,3,2,2,3010,Hot-Humid,0,2,1,1,1,0,1,1,SOUTH,0
1302.34,3,2,2,2200,Very-Cold,0,2,1,1,1,0,0,0,WEST,1
1449.99,4,3,2,4200,Cold,0,4,1,1,1,0,1,0,MIDWEST,1
559.71,3,3,3,2190,Cold,0,1,0,1,1,0,1,0,MIDWEST,1
371.83,3,3,2,1000,Cold,0,2,0,0,0,0,1,0,NORTHEAST,0
382.18,2,2,3,650,Mixed-Humid,0,1,0,1,1,1,1,0,NORTHEAST,0
863.5,2,4,2,3000,Cold,0,1,1,1,1,0,1,0,MIDWEST,0
968.41,5,1,1,1920,Cold,0,1,1,0,1,1,0,1,SOUTH,0
1724.4,2,3,2,750,Mixed-Humid,0,1,0,1,1,1,1,1,MIDWEST,1
969.81,2,2,1,1400,Hot-Dry,0,1,1,1,1,0,1,0,WEST,0
1713.92,3,1,2,2500,Mixed-Humid,0,2,1,1,1,1,1,1,SOUTH,0
1482.37,3,2,2,1150,Hot-Dry,0,1,1,0,1,0,1,1,WEST,0
1529.12,3,3,2,4400,Hot-Humid,0,4,1,1,1,1,1,1,SOUTH,0
1301.97,4,2,5,1400,Cold,0,1,1,1,1,0,1,1,MIDWEST,0
1123.5,4,2,4,2680,Cold,0,2,1,1,1,0,1,1,MIDWEST,1
1212.5,2,1,1,1000,Cold,0,2,1,0,1,1,1,1,NORTHEAST,0
1927.13,4,5,3,1500,Hot-Humid,0,1,1,1,0,1,1,1,SOUTH,0
1129.18,1,2,2,800,Mixed-Humid,0,1,0,1,1,1,1,1,SOUTH,0
787.26,3,1,1,2700,Cold,0,1,1,1,1,0,1,0,NORTHEAST,0
433.72,2,2,2,1020,Hot-Humid,0,1,1,0,0,1,1,1,SOUTH,0
592.2,1,1,1,500,Mixed-Humid,0,1,0,0,0,1,1,1,SOUTH,0
1228.05,3,2,5,1400,Hot-Dry,1,1,1,1,1,0,1,0,SOUTH,0
925.77,4,3,4,1440,Marine,0,2,1,1,1,0,1,0,WEST,0
1745.4,3,1,2,3000,Mixed-Humid,0,1,1,1,1,1,1,0,MIDWEST,0
1501.13,2,2,2,1560,Hot-Humid,0,1,0,1,1,1,1,1,SOUTH,0
